time_s,Ax,Ay,Az,Gx,Gy,Gz
0.0,0.0205,0.0205,9.7955,-0.1416,-0.2524,-0.9985
0.02,-0.048,0.0161,9.795,1.0622,1.0059,0.1818
0.04,-0.0483,0.005,9.8263,0.3801,-0.1059,-0.2829
0.06,0.0663,-0.0246,9.8131,0.7894,0.9309,0.5511
0.08,-0.0042,-0.0577,9.8,-0.5505,0.8952,-0.615
0.1,0.0149,0.0375,9.8491,0.9949,-0.8231,0.4162
0.12,-0.0055,0.0902,9.7988,0.0624,-0.4043,-0.4852
0.14,0.0162,-0.0092,9.8125,-0.236,0.17,-0.3947
0.16,-0.0053,-0.0299,9.8055,-1.033,0.0649,1.3834
0.18,-0.0402,-0.0017,9.8162,-0.241,-0.3944,-0.5705
0.2,0.0682,0.0256,9.8078,0.5217,-0.3746,-0.2342
0.22,0.0285,-0.0524,9.7979,-0.6532,-0.8347,-0.6526
0.24,0.0354,0.0849,9.8219,1.261,-0.7326,0.1565
0.26,0.0269,0.0581,9.8651,-0.6296,-0.4351,0.6137
0.28,0.0283,-0.0237,9.803,-1.8287,0.317,0.3089
0.3,-0.0432,-0.0546,9.7993,1.4435,-0.6614,0.3551
0.32,-0.0583,0.0757,9.7888,-0.1111,-1.4187,1.3265
0.34,-0.0045,-0.0122,9.8488,0.8886,0.351,0.1698
0.36,-0.0706,0.0502,9.8616,0.0114,0.5302,0.478
0.38,-0.0148,0.0195,9.8501,0.3466,-0.1337,0.4087
0.4,-0.0042,-0.0075,9.7622,0.0473,0.0886,-1.5796
0.42,-0.0095,-0.0041,9.866,0.4296,-0.2877,0.8344
0.44,-0.0222,0.0252,9.8156,-0.2203,-0.6387,0.5056
0.46,-0.0117,0.0683,9.8508,1.5174,-2.238,1.2447
0.48,0.0209,-0.0049,9.8249,-0.2601,0.8114,1.3602
0.5,-0.0176,0.0183,9.8305,-0.826,0.599,0.8288
0.52,-0.0303,-0.0295,9.8154,-2.0829,1.1379,-0.853
0.54,-0.023,0.0391,9.8515,-0.108,0.5441,-0.9167
0.56,0.0217,-0.0358,9.7691,-0.0329,0.6291,-0.1407
0.58,-0.0676,-0.0096,9.7882,0.2864,-0.6303,0.2872
0.6,0.0052,-0.0377,9.843,-0.4141,-0.3645,0.0406
0.62,0.03,0.0493,9.8545,-0.0291,0.2929,-0.2728
0.64,0.0176,0.0129,9.7776,-1.021,-0.8676,0.3122
0.66,-0.0156,-0.0704,9.7568,-0.9897,-0.833,0.8752
0.68,0.0672,0.0338,9.8258,0.8045,1.73,-0.5632
0.7,-0.0598,0.0287,9.8329,-0.9782,0.4993,-0.2771
0.72,0.0702,0.0055,9.8073,-0.3942,-2.0634,-0.3819
0.74,-0.0081,-0.0015,9.7862,1.4864,0.0074,0.5249
0.76,-0.0579,0.0159,9.7889,0.0238,0.36,0.5323
0.78,-0.0508,0.0176,9.8103,0.332,-0.0024,-0.4428
0.8,-0.0255,0.0174,9.8094,0.6563,-0.0634,0.1023
0.82,-0.0301,0.0065,9.8334,-0.6632,-1.2867,0.0107
0.84,0.0362,0.0063,9.7919,0.087,-0.3908,0.6588
0.86,-0.0105,-0.0239,9.8476,-0.432,0.2993,-0.9735
