time_s,Ax,Ay,Az,Gx,Gy,Gz
0.0,-0.1167,0.5302,9.7864,2.7314,6.1161,4.5571
0.02,0.1596,0.6067,9.9421,-1.3045,11.2494,2.0017
0.04,0.079,0.5855,9.9811,4.3637,6.2842,2.2581
0.06,-0.085,0.6786,10.0054,3.3464,9.1474,3.9447
0.08,0.0934,0.6747,10.1139,8.2665,3.5174,2.3968
0.1,0.0446,0.6536,10.1775,6.5917,9.7259,4.0446
0.12,0.1899,0.6586,10.2789,8.0173,8.0802,3.8439
0.14,0.2522,0.7155,10.2493,10.8645,8.1762,2.2695
0.16,0.1706,0.6031,10.5212,9.2512,6.0147,2.3118
0.18,0.1428,0.6091,10.3998,9.8173,10.4778,-0.3468
0.2,0.2131,0.622,10.4519,16.1243,6.5436,-0.4628
0.22,0.0929,0.6291,10.439,11.0085,9.8664,-2.3153
0.24,0.1761,0.6784,10.4812,16.2982,9.5071,-1.5713
0.26,0.2441,0.6865,10.4015,10.1756,7.0783,-0.9582
0.28,0.1753,0.5626,10.2307,10.7013,4.3119,-3.1225
0.3,0.2113,0.7634,10.1183,11.8273,9.8283,-1.7142
0.32,0.0598,0.436,10.1512,12.7898,8.1433,-3.353
0.34,0.1664,0.5983,10.1331,5.0423,9.8815,-3.7165
0.36,-0.1392,0.7124,10.0384,8.3435,11.1936,-1.685
0.38,-0.0288,0.6534,10.0066,0.57,9.7981,-4.9336
0.4,0.063,0.7098,9.8576,2.7045,3.9641,-2.52
0.42,-0.0521,0.4557,9.8224,5.4324,9.4451,-2.7677
0.44,-0.093,0.4939,9.9139,0.0652,8.6503,-5.3715
0.46,0.1348,0.5148,10.0007,-2.2286,5.2254,-3.645
0.48,-0.0395,0.5867,10.0306,-4.0323,7.9109,-2.7541
0.5,-0.0304,0.5744,10.1246,-8.195,7.7876,-1.0073
0.52,-0.1183,0.4628,10.1605,-12.3257,12.7454,-2.0045
0.54,-0.2628,0.4791,10.2428,-2.13,9.8729,-3.4116
0.56,-0.1943,0.4185,10.2413,-14.5407,9.6128,-2.8686
0.58,-0.1228,0.5754,10.311,-6.3503,5.6811,-2.8019
0.6,-0.2777,0.4055,10.3065,-13.9404,7.7819,-1.7024
0.62,-0.1439,0.4625,10.3152,-14.7298,8.0484,2.3412
0.64,-0.1661,0.3965,10.2554,-9.7655,6.5472,-1.2685
0.66,-0.3416,0.3373,10.3153,-11.14,7.6923,1.4051
0.68,-0.0866,0.4273,10.2623,-11.4174,10.0982,2.5655
0.7,-0.2172,0.3785,10.3005,-9.6687,9.8388,0.6935
0.72,-0.0497,0.3643,10.3252,-9.7008,5.872,3.0024
0.74,-0.2495,0.3408,10.1268,-5.9877,6.1779,4.1418
0.76,-0.1814,0.504,10.0373,-8.1477,9.6598,5.4496
0.78,-0.004,0.5159,10.0693,-8.4727,5.6585,6.2515
0.8,-0.0056,0.4717,9.8739,-4.1399,7.8584,6.258
0.82,-0.0915,0.3869,9.8263,-1.5944,9.2594,4.0215
0.84,0.0711,0.5355,9.9235,0.8546,8.3717,1.7725
0.86,0.1066,0.6974,10.0382,3.4539,6.9251,4.5597
0.88,0.1312,0.4661,10.0725,6.3108,9.5214,0.5172
0.9,0.2199,0.6354,10.1052,4.0546,7.1562,3.9328
0.92,0.1652,0.596,10.1836,7.4671,11.8089,2.5412
0.94,0.1981,0.6726,10.2231,8.101,5.9633,2.7767
0.96,0.2296,0.6032,10.2765,11.0866,7.2694,3.1718
0.98,-0.0572,0.6947,10.3582,12.9399,10.6047,1.4179
1.0,0.2559,0.6353,10.237,10.8886,8.6075,1.875
1.02,0.128,0.7824,10.4092,10.5196,12.9076,-0.2287
1.04,0.2793,0.5935,10.4397,11.2728,7.1347,1.4769
1.06,0.2201,0.6026,10.2295,11.1962,8.4723,-1.5512
1.08,0.245,0.6986,10.3149,13.0175,6.5884,-0.8895
1.1,0.1771,0.753,10.2841,10.6094,9.9877,-2.0663
1.12,0.2152,0.6294,10.3596,6.6419,10.6058,-3.4181
1.14,0.0824,0.5927,10.136,7.6274,6.0697,0.6586
1.16,0.1185,0.6706,10.1852,4.3408,7.9691,-4.7395
1.18,0.0768,0.5038,10.0132,4.3775,10.3623,-2.3427
1.2,-0.036,0.5355,9.9549,4.9036,6.6545,-2.8754
1.22,0.0752,0.5359,9.9079,3.9962,7.9019,-1.4738
1.24,-0.0912,0.5864,9.8199,1.5866,7.7283,-3.8163
1.26,0.0654,0.4498,9.8703,4.4546,4.0524,-4.839
1.28,-0.1116,0.5177,9.9003,-1.8696,9.1978,-3.1717
1.3,0.0794,0.3898,10.065,-3.8678,11.2089,-3.1106
1.32,-0.1549,0.3618,10.0005,-4.1432,6.2922,-6.4493
1.34,-0.146,0.3619,10.1399,-6.5934,5.16,-2.2028
1.36,-0.23,0.4366,10.2995,-9.7289,9.7387,-1.4525
1.38,-0.0873,0.4467,10.3026,-13.9225,7.541,0.7336
1.4,-0.2164,0.4366,10.2507,-12.7444,5.1285,-0.7164
1.42,-0.1564,0.4771,10.3848,-11.2342,5.5503,-1.3753
1.44,-0.281,0.3658,10.3299,-10.9396,7.8999,-1.4893
1.46,-0.1796,0.4642,10.3575,-10.0374,6.9157,1.1889
1.48,-0.1023,0.466,10.4749,-10.8531,10.8083,-0.0094
1.5,-0.1586,0.2641,10.4197,-11.7975,10.073,0.7146
