time_s,Ax,Ay,Az,Gx,Gy,Gz
0.0,-0.1268,0.2438,9.8383,-2.6826,4.4448,-1.149
0.02,0.0159,0.1788,9.8829,-0.2895,5.6829,-1.1606
0.04,0.0175,0.1908,9.9488,1.3214,1.808,2.0557
0.06,0.1509,0.1212,9.9994,3.2517,3.0707,2.2178
0.08,0.233,0.247,10.0346,3.6469,3.9643,0.0964
0.1,0.2565,0.0419,10.1478,5.1305,3.6438,2.3003
0.12,0.3622,0.0607,10.1591,5.6188,2.9375,2.9387
0.14,0.2992,-0.0129,10.0951,5.2782,1.404,2.0939
0.16,0.2915,-0.0376,10.0429,8.6916,0.3105,3.0528
0.18,0.3229,-0.0275,10.0461,6.8813,-0.2378,2.2678
0.2,0.3151,-0.1663,10.0644,1.8135,-0.6881,0.8199
0.22,0.2701,-0.1068,10.0945,6.7791,-1.2614,1.4441
0.24,0.1425,-0.1402,10.0082,3.341,-4.3147,0.4534
0.26,0.1431,-0.1107,9.9118,2.5612,-4.3668,0.2323
0.28,0.1052,-0.2528,9.9601,1.5967,-4.9746,1.1908
0.3,0.0873,-0.1688,9.7613,0.2947,-5.6586,0.0067
0.32,-0.0482,-0.1916,9.7725,-0.7779,-3.0121,0.3119
0.34,-0.0654,-0.2627,9.8632,-1.0732,-3.4676,-1.6211
0.36,-0.0603,-0.2666,9.9553,-0.5047,-3.7587,-0.2946
0.38,-0.1366,-0.1582,10.0524,-3.6801,-2.9018,-1.7303
0.4,-0.1827,-0.1118,10.012,-6.7682,-2.8373,-0.6562
0.42,-0.4019,-0.0349,10.1138,-5.3007,-2.6494,-0.0276
0.44,-0.1859,-0.1558,10.139,-7.5207,-2.3306,-2.7574
0.46,-0.2242,0.017,10.2084,-4.7737,-0.7979,-2.5569
0.48,-0.1718,0.1113,10.1616,-7.8645,0.1233,-4.1661
0.5,-0.2388,0.0638,10.1205,-6.4002,-1.263,-1.8315
0.52,-0.1968,0.1225,10.098,-4.8678,1.0604,-1.5324
0.54,-0.1038,0.0831,10.0188,-7.107,3.151,-2.8357
0.56,-0.2229,0.1169,10.042,-2.2477,0.907,-1.4884
0.58,-0.1285,0.213,9.9766,-1.985,2.5182,-0.7111
0.6,-0.1143,0.2206,9.8036,-4.4556,2.7748,-0.1191
0.62,-0.1337,0.3256,9.8475,0.1928,5.3053,1.4334
0.64,0.0877,0.3798,9.8667,1.0245,3.6163,0.0558
0.66,0.1658,0.1448,9.8677,0.0652,3.1901,1.5821
0.68,0.1585,0.0728,10.0707,2.3697,3.4173,1.1493
0.7,0.2256,0.1875,10.0985,3.7092,4.1824,1.9693
0.72,0.3592,0.1069,10.057,6.4823,3.4658,1.8097
0.74,0.3185,0.1273,10.076,5.9284,0.2193,1.2135
0.76,0.3826,0.0351,10.1708,6.6591,0.3492,1.474
0.78,0.159,0.0326,10.1481,6.8612,-1.3448,3.0484
0.8,0.2687,-0.0335,10.1886,4.2884,-2.3344,1.6976
0.82,0.248,-0.1794,10.1098,5.0769,-1.7954,2.7477
0.84,0.2402,-0.0995,10.0624,8.0113,-1.6768,3.3296
0.86,0.3213,-0.1346,10.0109,4.3313,-3.8569,2.7527
0.88,0.0967,-0.2401,10.0214,3.212,-2.9047,1.2521
0.9,0.1047,-0.2314,9.9771,3.571,-3.7237,0.4347
0.92,0.068,-0.0961,9.7335,2.6833,-3.128,-0.0446
0.94,0.0021,-0.2698,9.8024,1.4288,-2.7735,0.4827
0.96,-0.0154,-0.1437,9.9245,0.241,-3.3084,-1.3168
0.98,-0.2795,-0.1788,9.8719,-4.086,-0.8903,1.7162
1.0,-0.1303,-0.143,10.1182,-5.0057,-3.8761,0.6641
1.02,-0.355,-0.2137,10.05,-1.9992,-3.14,-0.6375
1.04,-0.2552,-0.1021,10.1032,-4.1218,-1.5924,-1.4003
1.06,-0.3716,0.0068,10.184,-4.4705,-2.538,-1.5784
1.08,-0.261,-0.1639,10.2235,-6.5563,0.7888,-1.1601
1.1,-0.2967,0.0089,10.1825,-7.395,1.644,-1.6792
1.12,-0.3204,0.0913,10.2196,-5.9637,1.0763,-2.6323
1.14,-0.1724,0.1097,10.1148,-4.5922,1.9823,-3.0204
1.16,-0.1773,0.059,10.1005,-3.4222,3.5889,-3.2831
1.18,-0.1513,0.1075,10.06,-2.168,1.5507,-0.3699
1.2,-0.0814,0.2225,9.9271,-1.453,3.6501,-1.1793
1.22,0.2255,0.5066,10.2413,-1.3606,3.5457,-1.6165
1.24,0.0482,0.1409,9.0308,-6.279,-7.843,-7.6084
1.26,-0.8416,-0.0624,9.1891,-0.0411,2.5936,9.1663
1.28,-2.3331,1.1067,6.0146,-46.9114,24.3794,7.4353
1.3,-3.8437,1.1411,3.473,-64.5726,30.3306,5.6691
1.32,-1.3771,-0.4975,7.7346,-14.5179,10.1619,9.9916
