time_s,Ax,Ay,Az,Gx,Gy,Gz
0.0,0.0347,0.2518,9.8127,-3.0656,5.4803,0.3119
0.02,0.0694,0.1496,9.9657,0.4561,5.6587,0.707
0.04,0.1482,0.2098,9.9087,3.8353,8.3503,2.2598
0.06,0.2106,0.243,10.0158,3.1784,3.3833,2.4377
0.08,0.2853,0.242,10.0809,7.5691,1.7737,2.3362
0.1,0.43,0.2401,10.0848,5.1917,0.5389,3.7193
0.12,0.3132,0.1829,10.1908,5.9781,2.0528,4.0256
0.14,0.3964,0.1471,10.2318,6.4712,-3.0993,1.3526
0.16,0.3684,0.1725,10.1541,4.6847,-2.3999,2.5437
0.18,0.1455,0.0388,10.0932,10.7579,-3.0378,0.3995
0.2,0.2139,0.0805,10.0607,7.7955,-5.9237,0.4243
0.22,0.0702,0.0449,9.9448,7.9592,-6.539,-1.7933
0.24,0.0851,-0.0539,9.8951,3.2504,-4.4421,-1.1782
0.26,-0.0889,0.0338,9.8882,8.1232,-5.5524,-2.8008
0.28,-0.0508,-0.1459,9.9391,2.8669,-1.871,-3.6282
0.3,-0.3401,0.0079,10.0644,0.7019,-3.3997,-3.0833
0.32,-0.3971,0.0101,10.1431,0.1473,-3.4054,-2.8176
0.34,-0.0603,-0.108,10.0853,-2.2873,-2.3218,-3.0041
0.36,-0.2412,-0.205,10.1861,-4.0788,-2.1394,-2.6675
0.38,-0.2933,-0.1816,10.1941,-2.579,0.6621,-1.2385
0.4,-0.3064,-0.2692,10.211,-7.8146,-0.2856,0.1078
0.42,-0.2934,-0.26,10.1601,-3.7281,4.7373,-1.0001
0.44,-0.1161,-0.3621,10.1214,-6.8675,5.0903,1.2052
0.46,-0.2744,-0.3077,10.0638,-5.581,6.0232,1.9803
0.48,-0.0964,-0.3323,9.9793,-4.4948,4.0918,2.8586
0.5,-0.0038,-0.2521,9.8494,-8.5933,3.584,2.0274
0.52,0.2522,-0.214,9.9238,-10.3631,6.5703,3.1418
0.54,0.2097,-0.2523,9.9782,-7.3483,6.7911,1.1412
0.56,0.2601,-0.2815,10.1654,-3.2754,3.654,1.1834
0.58,0.3636,-0.2636,10.1407,-4.8913,3.3002,3.0318
0.6,0.3296,-0.2121,10.1963,-4.8688,1.2625,0.3656
0.62,0.507,-0.2243,10.1274,1.0585,-1.415,1.7803
0.64,0.2575,-0.1932,10.1006,4.958,1.8716,1.6752
0.66,0.3365,-0.0788,10.1268,1.6756,-2.2948,-1.6494
0.68,0.2253,-0.0903,10.1407,1.1806,-2.9821,-2.3568
0.7,0.0036,-0.0246,10.0589,6.1437,-2.285,-3.105
0.72,0.0889,-0.0625,9.9542,6.8796,-1.4863,-3.5601
0.74,0.2544,-0.0432,9.8983,6.5165,-3.8163,-2.8761
