time_s,Ax,Ay,Az,Gx,Gy,Gz
0.0,-0.0067,0.0128,9.765,-0.4703,0.3117,0.1138
0.02,-0.0128,-0.021,9.8524,0.5142,-0.027,0.4173
0.04,-0.0259,-0.0093,9.8034,0.635,-0.1426,0.0563
0.06,-0.0422,-0.0245,9.8256,-0.1596,-0.4303,0.0839
0.08,0.0098,0.0507,9.8241,-0.0481,-0.0565,0.1547
0.1,0.02,0.005,9.8041,-0.0084,0.7085,-0.0348
0.12,0.0207,0.0158,9.8026,-0.1619,-0.7269,0.0918
0.14,0.0095,-0.0143,9.7873,0.1314,0.115,-1.2624
0.16,0.0427,0.0196,9.7592,-0.4783,0.5311,-0.2445
0.18,0.05,-0.024,9.7777,-0.4298,-0.1729,0.5015
0.2,0.0083,0.0204,9.8363,0.1804,0.0255,0.0562
0.22,0.0327,-0.0276,9.8118,0.4845,1.4391,-0.4865
0.24,0.0402,-0.0094,9.7798,-0.1091,-0.3284,0.0924
0.26,0.0169,0.0248,9.7584,-0.0612,-0.2009,0.7433
0.28,-0.0098,0.0018,9.7806,-0.9195,-1.6995,0.2926
0.3,0.0042,-0.0002,9.7842,0.2287,-0.4054,-0.2747
0.32,-0.0036,0.0081,9.8096,0.1866,-0.4503,0.6072
0.34,0.0597,-0.0489,9.8062,-0.3,0.5365,0.1607
0.36,0.0068,-0.042,9.8403,-0.1192,-0.0206,0.2568
0.38,0.0349,-0.0023,9.7948,-0.811,0.4992,-0.0058
0.4,0.0076,0.0064,9.8193,-0.344,-0.6012,0.3059
0.42,0.0164,-0.0206,9.8033,0.3155,1.1845,0.8222
0.44,0.0075,0.0019,9.7831,-0.1303,0.0562,0.3163
0.46,-0.0247,-0.077,9.8092,0.7978,0.5405,-0.3169
0.48,-0.0157,0.0367,9.8135,0.668,-0.1034,-0.0683
0.5,0.0215,0.0244,9.8243,-0.7601,-0.7968,0.3235
0.52,0.0478,0.0014,9.8169,0.0952,-0.3062,-0.1159
0.54,0.0188,-0.0044,9.7886,0.2839,0.0786,0.2749
0.56,0.0381,0.0213,9.8522,0.6277,0.6569,0.0208
0.58,-0.0165,-0.0111,9.8293,0.2765,-0.0476,1.2426
0.6,0.0316,-0.0159,9.8487,-0.0042,-0.2409,-0.1806
0.62,0.0307,0.0209,9.7566,-0.9188,0.198,-0.1819
0.64,0.0036,-0.0068,9.8316,0.2475,0.1495,0.465
0.66,0.0093,0.0091,9.8242,0.2721,-0.4039,0.0625
0.68,0.007,-0.0821,9.8436,-0.2735,0.3535,0.2152
0.7,0.041,-0.0203,9.8076,-0.3915,-0.1913,-0.5659
0.72,0.0305,-0.0466,9.7798,0.0435,0.7672,0.1283
0.74,-0.0052,-0.0162,9.8612,-0.2669,-0.3798,-0.0541
0.76,0.002,0.0499,9.8134,-0.3354,0.2578,-0.0485
0.78,-0.0133,0.0106,9.8096,0.536,-0.8783,0.469
0.8,-0.0321,0.0138,9.7944,-0.2657,0.0112,-0.0707
0.82,0.065,0.0159,9.8344,0.1678,0.1974,0.7848
0.84,-0.0221,0.0622,9.7941,-0.2153,0.2643,-0.4719
0.86,0.0118,-0.0295,9.8258,-0.717,-0.4869,0.4702
0.88,0.0625,-0.0797,9.8272,0.4853,-0.8063,0.0807
0.9,0.0422,-0.0287,9.82,0.0403,0.9754,-0.2724
0.92,-0.0059,-0.0258,9.7853,0.3375,0.2114,0.1421
0.94,0.0382,-0.0185,9.8315,0.0299,-0.3583,0.1064
0.96,0.0277,0.0298,9.8579,-0.7561,-0.5004,0.1226
0.98,0.0209,0.0001,9.8292,0.0617,-0.6909,0.4005
