time_s,Ax,Ay,Az,Gx,Gy,Gz
0.0,-0.0011,0.0263,0.0684,-0.5809,-0.4308,0.2856
0.02,0.0268,-0.0105,-0.0676,0.6237,-0.0566,0.1447
0.04,0.0296,0.0174,0.0099,0.6059,-0.2279,-0.5972
0.06,0.0323,0.0282,-0.0438,0.3226,-0.1547,0.7324
0.08,-0.0146,0.0004,-0.0181,-0.0486,-0.5892,0.0619
0.1,-0.0098,0.0092,-0.0431,-0.1608,-0.6573,0.0736
0.12,-0.0169,0.0089,0.0424,0.1418,-0.0547,-0.0196
0.14,0.048,0.0241,0.0265,0.4694,-0.548,-0.1707
0.16,-0.0147,-0.0138,-0.0311,0.4968,0.4651,-0.4933
0.18,0.014,0.0031,0.0422,0.0001,0.3825,-0.0344
0.2,0.0236,-0.0236,0.0046,0.5066,0.1804,0.2479
0.22,0.0262,0.0199,-0.0052,0.085,0.3732,-0.4723
0.24,-0.0236,-0.0228,0.062,-0.0266,-0.3121,0.0981
0.26,-0.0465,0.025,0.0278,-0.0167,0.0839,0.1968
0.28,0.0132,0.0252,0.0199,-0.2945,0.1437,0.1279
0.3,-0.0075,-0.0042,0.0144,0.2271,-0.3244,0.0458
0.32,-0.0307,-0.0133,0.0545,-0.1766,-0.0399,-0.1022
0.34,0.0269,0.0018,0.0068,-0.1988,-0.1793,-0.0689
0.36,-0.0096,0.0367,0.0156,0.4321,0.3241,0.075
0.38,0.0181,0.0234,-0.0226,-0.1943,-0.1085,0.2861
0.4,0.026,0.032,0.038,0.3075,-0.4327,-0.5081
0.42,-0.0448,0.0089,0.0289,0.1532,-0.0067,-0.2537
0.44,-0.0083,-0.014,0.0186,0.0064,-0.4001,0.0237
0.46,0.0061,0.0066,-0.0134,0.0628,0.387,0.0693
0.48,0.0285,-0.0226,0.0057,0.5793,-0.0749,-0.0827
0.5,0.0333,0.0196,0.0114,-0.1149,-0.1192,-0.0384
0.52,-0.0066,-0.0246,-0.0355,-0.0789,0.3533,0.3411
