time_s,Ax,Ay,Az,Gx,Gy,Gz
0.0,0.002,-0.4996,9.8961,-0.2657,-10.5771,3.5221
0.02,0.0528,-0.5327,9.8662,-0.1477,-9.0171,5.1602
0.04,-0.0674,-0.4283,10.0248,1.1428,-6.6216,-0.5605
0.06,0.1929,-0.6278,10.1587,2.1547,-10.1604,4.3349
0.08,0.22,-0.5794,10.0933,6.6995,-9.3892,3.4075
0.1,0.269,-0.3154,10.2424,8.1394,-9.2813,1.9921
0.12,0.1691,-0.5229,10.2279,11.7635,-10.8053,3.0808
0.14,0.2198,-0.4349,10.3737,10.4276,-11.458,3.1814
0.16,0.1976,-0.5361,10.3833,14.2563,-8.7385,0.3004
0.18,0.1699,-0.4884,10.2994,7.3388,-7.7913,3.5742
0.2,0.2007,-0.3339,10.3563,12.5922,-9.5497,2.8588
0.22,0.2239,-0.5193,10.4015,9.2146,-10.6073,-0.321
0.24,0.2225,-0.3795,10.3254,10.8159,-7.6663,-1.1669
0.26,0.1766,-0.3076,10.3062,8.974,-8.9993,-0.6731
0.28,0.1637,-0.3928,10.2127,1.6352,-9.2839,-2.413
0.3,0.0942,-0.4245,10.2927,8.3256,-7.4984,-5.2155
0.32,0.146,-0.5334,10.138,12.7829,-7.6732,-1.4513
0.34,0.1124,-0.3591,10.0527,9.4011,-6.0442,-3.0716
0.36,0.0709,-0.4168,9.9909,0.3305,-10.5205,-4.116
0.38,0.0539,-0.4032,9.8444,8.3492,-7.7989,-1.7308
0.4,0.0814,-0.4266,9.8878,1.8248,-5.8262,-4.9257
0.42,0.0595,-0.5991,9.7414,1.3201,-9.2196,-5.4645
0.44,0.0361,-0.5969,9.9135,-2.7799,-6.4303,-4.8634
0.46,-0.0123,-0.71,10.0237,-7.0288,-6.5883,-3.9162
0.48,-0.0639,-0.5904,9.9317,-4.8073,-10.0566,-3.4892
0.5,-0.2113,-0.6697,10.1725,-5.0816,-11.39,-6.3975
0.52,-0.112,-0.6712,10.1382,-10.5536,-7.8769,-4.0375
0.54,-0.2692,-0.7548,10.169,-5.9013,-6.7218,-4.5297
0.56,-0.1355,-0.668,10.3297,-13.7549,-6.6612,-2.3717
0.58,-0.2593,-0.5734,10.2605,-10.4277,-7.167,-4.7596
0.6,-0.1791,-0.5715,10.3113,-9.9341,-6.6295,-0.0659
0.62,-0.1347,-0.7793,10.3192,-14.2964,-8.962,-1.6031
0.64,-0.3174,-0.6989,10.3514,-13.3395,-6.4985,-0.5255
0.66,-0.2524,-0.7542,10.2062,-7.2599,-7.7014,0.1159
0.68,-0.1962,-0.821,10.2655,-11.0708,-6.9517,2.476
0.7,-0.1238,-0.7479,10.2366,-6.9583,-3.3993,1.2234
0.72,-0.1868,-0.6036,10.1809,-6.675,-6.1291,3.237
0.74,-0.0296,-0.7434,10.2507,-6.1952,-7.0899,1.2815
0.76,-0.0485,-0.5268,10.1218,-11.0812,-9.2057,3.4337
0.78,-0.0987,-0.5634,10.0491,-3.5133,-4.857,6.3388
0.8,-0.142,-0.5174,10.0551,0.6203,-5.3909,3.5416
0.82,0.0142,-0.6654,9.7712,-2.1962,-10.6357,2.6655
0.84,-0.017,-0.4191,9.8825,2.1156,-6.5271,4.6624
0.86,0.1042,-0.4444,9.939,1.2615,-7.7993,3.3779
0.88,0.0975,-0.4293,9.9668,8.6569,-10.3229,0.5145
0.9,0.1,-0.395,10.0463,10.2106,-13.406,3.5564
0.92,0.1236,-0.4315,10.1076,7.8272,-7.277,0.6844
0.94,0.2315,-0.3551,10.1449,3.2176,-7.4387,4.3062
0.96,0.1654,-0.4168,10.1937,7.3867,-7.8221,3.2447
0.98,0.215,-0.4487,10.3693,11.2166,-7.6425,1.9241
1.0,0.2488,-0.4887,10.3042,11.6225,-6.2356,0.1594
1.02,0.1617,-0.4778,10.3658,17.5862,-8.4245,0.2839
1.04,0.2963,-0.4388,10.3815,11.6237,-10.1057,-0.3167
1.06,0.255,-0.4214,10.3441,10.4191,-11.4024,-2.0862
1.08,0.1429,-0.5065,10.3845,12.1448,-8.335,0.0688
1.1,0.1555,-0.3773,10.2584,7.7816,-10.8796,-1.2906
1.12,0.0538,-0.2716,10.3191,8.7679,-5.7315,-1.5214
1.14,0.0881,-0.3727,10.3646,7.4885,-8.862,-1.1207
1.16,0.0916,-0.5532,10.1875,6.7947,-5.0674,-2.1064
1.18,0.1532,-0.5532,10.2252,5.6927,-10.6653,-0.8898
1.2,0.0764,-0.6368,9.9955,1.7878,-9.2823,-2.992
1.22,-0.035,-0.5974,10.0133,-0.5637,-7.4196,-7.1377
1.24,0.0962,-0.5978,9.9442,7.4787,-8.0946,-5.7858
1.26,0.0549,-0.568,9.8294,1.1928,-8.0602,-3.9305
1.28,-0.0049,-0.5069,9.9076,-3.0758,-5.242,-2.8126
1.3,-0.0382,-0.6123,10.1173,-5.2391,-5.7849,-2.1976
1.32,-0.179,-0.5718,10.1463,-8.4598,-7.7451,-3.9962
1.34,-0.1491,-0.6431,10.1804,-9.3093,-7.8139,-3.6547
1.36,-0.1417,-0.6692,10.3058,-7.9942,-4.5095,-3.254
1.38,-0.2341,-0.6232,10.1955,-7.5986,-7.256,-2.4837
1.4,-0.1816,-0.6507,10.3566,-13.1716,-3.9574,-1.843
1.42,-0.058,-0.6984,10.2933,-7.6026,-6.3373,1.6809
1.44,-0.1532,-0.5951,10.2814,-10.6306,-7.698,2.4181
1.46,-0.1055,-0.5984,10.3373,-6.474,-6.1704,1.5465
1.48,-0.3375,-0.6644,10.4458,-14.4307,-7.7871,-2.3227
1.5,-0.0481,-0.7138,10.364,-9.5034,-8.3737,-0.9565
1.52,-0.1901,-0.6277,10.219,-12.9155,-8.8817,2.5285
1.54,-0.1448,-0.651,10.2369,-8.6896,-8.4634,1.6856
1.56,-0.111,-0.6273,10.2202,-8.2805,-9.907,2.8066
1.58,-0.1216,-0.6027,10.1975,-9.2064,-7.2972,2.7839
1.6,-0.0563,-0.7164,10.2274,-6.7101,-10.3417,-0.812
1.62,-0.0269,-0.4601,9.9827,-4.0543,-9.0038,5.454
1.64,-0.0114,-0.6718,9.8518,-4.6135,-4.9527,4.8521
1.66,0.0314,-0.4911,9.8011,0.3685,-7.0531,6.2364
1.68,0.0304,-0.5922,9.9701,2.778,-10.104,2.1467
1.7,-0.0611,-0.5259,10.0048,4.1356,-6.5488,3.1472
1.72,0.1166,-0.5323,10.0821,3.4102,-10.5661,1.3866
1.74,0.1533,-0.4636,10.0086,8.52,-11.5479,4.5869
1.76,0.071,-0.4774,10.1428,8.4222,-10.4396,2.6743
1.78,0.2371,-0.388,10.2481,10.3773,-7.8341,1.9869
1.8,0.2623,-0.5524,10.2602,10.9091,-5.6648,-1.8918
1.82,0.2069,-0.4455,10.3487,13.0716,-6.6198,2.7873
1.84,0.26,-0.4077,10.3676,14.542,-8.0489,1.8564
1.86,0.2885,-0.3572,10.4981,9.8534,-9.6119,-0.2848
1.88,0.103,-0.4755,10.3792,10.9054,-4.6366,-0.0267
1.9,0.1991,-0.3544,10.2622,11.5751,-12.9728,0.3652
1.92,0.2385,-0.4085,10.4236,13.0114,-9.0249,-1.0024
1.94,0.0272,-0.4466,10.362,11.2749,-7.9081,-4.1847
1.96,0.209,-0.3957,10.2059,10.0662,-6.1295,-1.5687
1.98,0.1562,-0.4451,10.2482,5.2352,-9.2354,-1.4734
2.0,0.1414,-0.4698,10.2459,4.6199,-9.6894,-2.9164
2.02,0.1171,-0.2873,10.0304,5.3483,-2.6553,-2.3452
2.04,-0.066,-0.5749,9.9876,1.2312,-8.4715,-4.1137
