time_s,Ax,Ay,Az,Gx,Gy,Gz
0.0,0.0639,0.0291,9.8504,-0.0457,0.4766,-2.084
0.02,-0.0492,-0.0042,9.8514,0.3951,-0.0175,0.6382
0.04,0.0203,0.0219,9.8523,1.5769,-1.4041,1.1462
0.06,-0.0184,-0.0274,9.8325,-1.6585,1.1709,-1.8908
0.08,0.0738,-0.0305,9.789,-0.1491,1.6609,-0.2833
0.1,-0.0332,0.0438,9.7779,0.4568,-0.887,-0.7052
0.12,-0.0268,0.0401,9.8142,-1.3022,-0.5475,0.8026
0.14,-0.0123,0.083,9.7832,-0.4456,-0.1422,-0.3906
0.16,-0.0205,-0.0353,9.7509,0.6156,-1.268,-1.1828
0.18,0.0168,-0.0062,9.7797,0.4464,0.4178,-0.6575
0.2,0.0248,-0.1146,9.7745,-0.5636,1.079,1.1598
0.22,-0.0006,-0.0112,9.7382,-0.524,-0.5607,-1.8248
0.24,-0.0172,0.0272,9.8027,-1.2879,1.058,-0.3032
0.26,0.007,-0.0038,9.8418,-1.0651,-0.7793,-2.2266
0.28,0.1299,0.0512,9.8287,0.6501,-0.1723,0.5271
0.3,0.0421,0.0813,9.7845,-0.3756,0.9691,-0.3652
0.32,-0.0037,0.0981,9.8956,-0.2553,1.3195,0.4674
0.34,-0.0249,-0.0479,9.831,0.0511,0.4973,-0.0275
0.36,0.0678,-0.0558,9.7736,0.4319,0.1053,-0.6929
0.38,-0.0758,0.0503,9.7427,-1.7067,1.2849,-1.8906
0.4,0.0164,-0.0162,9.8537,-1.6892,-0.4616,-1.3873
0.42,-0.0644,-0.0155,9.8657,-0.5297,-0.6545,0.2783
0.44,0.0712,0.0165,9.8057,-0.1709,-0.165,-1.2898
0.46,-0.0171,-0.065,9.8464,-0.2781,0.665,0.515
0.48,0.0468,-0.0603,9.8148,0.1184,-0.7174,-1.7828
0.5,0.0028,0.0518,9.8565,0.4597,0.0903,-0.5316
0.52,-0.0333,-0.0832,9.7958,-0.3185,1.2578,-0.0039
0.54,0.0211,0.0327,9.7675,-1.3622,-0.9235,-1.415
0.56,0.058,-0.0057,9.877,0.158,-1.8107,-0.9638
