time_s,Ax,Ay,Az,Gx,Gy,Gz
0.0,0.0201,0.1501,9.8723,-2.9763,3.9706,-1.5923
0.02,0.103,0.2574,9.9112,-0.0145,3.727,0.872
0.04,0.0837,0.1136,9.983,2.181,4.0968,0.8582
0.06,0.2159,0.0948,9.9954,3.1337,4.5865,1.1461
0.08,0.1828,0.1434,10.0465,3.6129,1.8565,2.0629
0.1,0.2402,0.1003,10.2403,6.1854,2.6139,2.2773
0.12,0.254,0.0186,10.1776,5.6458,2.3939,1.4924
0.14,0.228,0.0305,10.1395,5.5551,1.8687,2.0659
0.16,0.3192,0.0377,10.2044,7.8089,0.0182,2.2383
0.18,0.2701,-0.071,10.2323,4.3608,-0.8993,3.5831
0.2,0.2685,-0.0923,10.1182,6.8443,-3.3285,0.3038
0.22,0.2544,-0.1179,10.0832,4.3446,-2.6059,2.7608
0.24,0.2223,-0.0894,10.0573,4.9875,-1.1151,2.9315
0.26,0.0805,-0.2263,10.0316,3.636,-2.5176,0.7273
0.28,0.1003,-0.1542,9.9509,4.1338,-4.561,0.2218
0.3,-0.0803,-0.2653,9.7625,4.7423,-5.4888,-0.383
0.32,-0.0961,-0.2247,9.8421,0.7786,-3.6917,-1.2161
0.34,-0.0977,-0.1119,9.9263,-1.7894,-3.8879,-0.5765
0.36,-0.1694,-0.273,9.9178,-1.1864,-1.1874,-1.1458
0.38,-0.0922,-0.1737,10.035,-5.389,-1.6965,-1.139
0.4,-0.3174,-0.0774,10.1246,-2.902,-2.9405,-3.3515
0.42,-0.3601,-0.0931,10.1441,-7.5523,-1.3298,-1.5395
0.44,-0.2877,-0.0374,10.1094,-5.226,0.1659,-1.9595
0.46,-0.3385,-0.0947,10.2441,-4.3955,1.3265,-2.2604
0.48,-0.3211,-0.0606,10.1931,-3.8717,1.0032,-1.7714
0.5,-0.4329,0.09,10.1058,-7.3577,1.2196,-1.7794
0.52,-0.2346,0.058,10.0958,-4.172,1.6351,-2.1753
0.54,-0.283,0.1208,10.1495,-6.1969,4.0183,-2.1665
0.56,-0.1698,0.1387,9.9377,-3.3329,4.4084,-2.2203
0.58,-0.1234,0.2239,10.0015,-1.2288,3.3903,-1.4952
0.6,-0.0451,0.0651,9.8998,-3.3967,5.1455,-0.0324
0.62,-0.1139,0.2264,9.8271,-2.7038,4.4276,-0.8751
0.64,0.1457,0.2067,9.919,-1.1754,6.5215,1.1784
0.66,0.1971,0.1639,9.9561,4.2199,3.7293,0.7216
0.68,0.0891,0.2092,10.0387,2.4891,3.0859,1.1797
0.7,0.1722,0.0799,10.1486,6.9989,3.7431,1.9703
0.72,0.1993,0.1097,10.1815,3.4514,1.7386,1.7583
0.74,0.1458,0.082,10.0854,7.1159,2.2792,-1.5208
0.76,0.3443,0.009,10.1287,8.3546,0.4365,1.5745
0.78,0.368,-0.0351,10.2326,7.4175,2.5554,2.0525
0.8,0.2264,-0.0171,10.2101,7.1223,-0.0877,1.281
0.82,0.3027,-0.0199,10.0567,4.9882,-3.3263,2.6075
0.84,0.4093,-0.0553,10.082,5.6011,-2.0465,1.6417
0.86,0.2318,-0.2053,10.0361,4.9643,-3.9353,1.4465
0.88,0.1206,-0.2629,9.9775,2.8741,-4.3121,0.992
0.9,0.0942,-0.2234,9.8973,5.0949,-5.3784,-1.6586
0.92,0.1099,-0.2215,9.867,1.734,-4.5003,-0.0922
0.94,-0.0908,-0.1485,9.7593,1.1454,-5.3137,0.2125
0.96,-0.1248,-0.1927,9.9815,-1.0267,-4.4984,-0.3684
0.98,-0.2173,-0.0723,9.9355,-3.1062,-2.32,-2.1602
1.0,-0.1926,-0.306,10.0308,-5.6502,-6.3317,-1.0682
1.02,-0.269,-0.2649,10.0131,-3.5215,-1.1038,-0.5553
1.04,-0.189,-0.0914,10.0987,-4.9304,-2.8651,-0.3071
1.06,-0.2018,-0.1545,10.1405,-7.3105,-0.6526,-2.3028
1.08,-0.3005,-0.0586,10.153,-7.2033,0.307,-1.8377
1.1,-0.3257,-0.0179,10.1953,-5.7729,-0.9527,-1.011
1.12,-0.261,0.1318,10.2056,-6.0402,1.273,-1.3403
1.14,-0.277,0.0549,10.121,-3.9477,2.9867,-3.3147
1.16,-0.2608,0.1362,10.1207,-3.2892,4.0488,0.3266
1.18,-0.1227,0.1436,10.0444,-3.6657,1.4173,-2.1004
1.2,-0.0922,0.1051,10.0135,-2.945,4.0967,-2.3059
1.22,-0.1057,0.2104,9.9696,-3.3924,4.6622,-0.2453
