time_s,Ax,Ay,Az,Gx,Gy,Gz
0.0,-0.0492,0.2372,9.8004,-0.9917,2.6596,-0.7528
0.02,0.1568,0.1776,9.8765,0.7971,1.2156,0.9038
0.04,-0.0218,0.0762,9.9128,0.9745,3.7733,-1.1994
0.06,0.0906,0.1101,10.0533,4.9689,5.688,2.0324
0.08,0.2648,0.1086,10.104,7.5777,2.6677,1.8159
0.1,0.1995,0.0758,10.1462,6.851,1.0841,1.458
0.12,0.3073,0.0886,10.1004,6.6712,3.0095,2.905
0.14,0.3618,0.0154,10.1346,4.9116,1.1329,2.6578
0.16,0.2991,0.0185,10.1262,3.021,-1.0034,3.8506
0.18,0.2664,0.0,10.1992,7.1094,-1.2932,3.6166
0.2,0.3606,-0.1512,10.1297,5.0138,-1.7752,1.3973
0.22,0.3065,-0.1296,10.1568,3.4816,-2.7379,1.3586
0.24,0.1916,-0.1466,10.022,3.9967,-2.6927,2.0991
0.26,0.1933,-0.2285,9.9321,3.5414,-3.8116,1.3611
0.28,0.0077,-0.2892,9.903,-1.0828,-4.4697,1.6427
0.3,0.0969,-0.0868,9.8646,1.5697,-5.4863,-0.4273
0.32,0.0274,-0.1191,9.7884,-1.7602,-2.1576,-0.1105
0.34,-0.0715,-0.1416,9.9489,-2.2846,-2.7947,-1.6393
0.36,-0.1735,-0.1614,10.0432,-5.1968,-4.7905,-1.1008
0.38,-0.2384,-0.1002,10.0403,-5.0948,-4.7559,-0.7631
0.4,-0.2452,-0.1923,10.0375,-4.8426,-1.3147,-0.8581
0.42,-0.2927,-0.1432,10.1649,-7.1842,-2.0198,-1.1076
0.44,-0.2162,-0.0649,10.1638,-5.1311,-0.5334,-1.6915
0.46,-0.2431,-0.0588,10.1913,-6.2036,-0.6441,-3.49
0.48,-0.4213,-0.0019,10.1415,-5.6438,1.0164,-0.4636
0.5,-0.256,0.0026,10.1087,-5.8158,-0.0001,-1.7826
0.52,-0.2742,0.1381,10.1978,-4.3639,2.1572,-2.6805
0.54,-0.3214,0.0797,10.1128,-5.5844,4.1771,-1.1282
0.56,-0.1602,0.2576,9.948,-3.3749,1.7531,-1.0286
0.58,-0.1327,0.1961,9.945,-3.6824,2.9735,-1.7065
0.6,-0.0878,0.2688,9.803,-1.5874,2.6163,-0.3724
0.62,0.1072,0.1193,9.901,2.2315,2.3928,1.2076
0.64,0.0066,0.1537,9.8964,1.5362,6.3692,0.3302
0.66,0.0404,0.1693,10.0284,0.1178,2.838,0.5708
0.68,0.269,0.1569,10.0229,-0.9904,2.5204,1.8578
0.7,0.131,0.2,10.1177,3.4279,2.7535,0.9176
0.72,0.3133,0.1225,10.0652,5.0441,0.6857,3.2568
0.74,0.2703,0.1219,10.0854,3.638,1.5959,1.1895
0.76,0.2654,-0.0035,10.202,4.6841,2.5137,3.2621
0.78,0.4027,0.0094,10.165,5.576,0.6765,-0.0853
